program,fractal,degree,constant_real,constant_imag,radius,max_iterations,horizontal_samples,vertical_samples,lower_real,lower_imag,upper_real,upper_imag,runtime,threads,grid_size
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.182022,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181147,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.180862,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255008,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.257538,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.182536,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.181957,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.182497,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.181709,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181952,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181249,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.181438,1,1
